fecha,lectura_original_cm,pico_reemplazado,lectura_sin_picos_cm,ajuste_bloques_1981_2006_m,ajuste_1992_2004_m,lectura_corregida_cm,nivel_corregido_msnm,nivel_corregido_lleno_msnm,metodo_llenado,estado
1981-01-01,135.0,no,135.0,0.00,0.00,135.0,3015.126,3015.126,,Sin control de Santa Inés
1981-01-02,135.0,no,135.0,0.00,0.00,135.0,3015.126,3015.126,,Sin control de Santa Inés
1981-01-03,134.0,no,134.0,0.00,0.00,134.0,3015.116,3015.116,,Sin control de Santa Inés
1981-01-04,134.0,no,134.0,0.00,0.00,134.0,3015.116,3015.116,,Sin control de Santa Inés
1981-01-05,134.0,no,134.0,0.00,0.00,134.0,3015.116,3015.116,,Sin control de Santa Inés
1981-01-06,134.0,no,134.0,0.00,0.00,134.0,3015.116,3015.116,,Sin control de Santa Inés
1981-01-07,132.0,no,132.0,0.00,0.00,132.0,3015.096,3015.096,,Sin control de Santa Inés
1981-01-08,132.0,no,132.0,0.00,0.00,132.0,3015.096,3015.096,,Sin control de Santa Inés
1981-01-09,132.0,no,132.0,0.00,0.00,132.0,3015.096,3015.096,,Sin control de Santa Inés
1981-01-10,132.0,no,132.0,0.00,0.00,132.0,3015.096,3015.096,,Sin control de Santa Inés
1981-01-11,132.0,no,132.0,0.00,0.00,132.0,3015.096,3015.096,,Sin control de Santa Inés
1981-01-12,131.0,no,131.0,0.00,0.00,131.0,3015.086,3015.086,,Sin control de Santa Inés
1981-01-13,131.0,no,131.0,0.00,0.00,131.0,3015.086,3015.086,,Sin control de Santa Inés
1981-01-14,131.0,no,131.0,0.00,0.00,131.0,3015.086,3015.086,,Sin control de Santa Inés
1981-01-15,129.0,no,129.0,0.00,0.00,129.0,3015.066,3015.066,,Sin control de Santa Inés
1981-01-16,127.0,no,127.0,0.00,0.00,127.0,3015.046,3015.046,,Sin control de Santa Inés
1981-01-17,126.0,no,126.0,0.00,0.00,126.0,3015.036,3015.036,,Sin control de Santa Inés
1981-01-18,124.0,no,124.0,0.00,0.00,124.0,3015.016,3015.016,,Sin control de Santa Inés
1981-01-19,123.0,no,123.0,0.00,0.00,123.0,3015.006,3015.006,,Sin control de Santa Inés
1981-01-20,123.0,no,123.0,0.00,0.00,123.0,3015.006,3015.006,,Sin control de Santa Inés
1981-01-21,122.0,no,122.0,0.00,0.00,122.0,3014.996,3014.996,,Sin control de Santa Inés
1981-01-22,122.0,no,122.0,0.00,0.00,122.0,3014.996,3014.996,,Sin control de Santa Inés
1981-01-23,122.0,no,122.0,0.00,0.00,122.0,3014.996,3014.996,,Sin control de Santa Inés
1981-01-24,122.0,no,122.0,0.00,0.00,122.0,3014.996,3014.996,,Sin control de Santa Inés
1981-01-25,120.0,no,120.0,0.00,0.00,120.0,3014.976,3014.976,,Sin control de Santa Inés
1981-01-26,120.0,no,120.0,0.00,0.00,120.0,3014.976,3014.976,,Sin control de Santa Inés
1981-01-27,118.0,no,118.0,0.00,0.00,118.0,3014.956,3014.956,,Sin control de Santa Inés
1981-01-28,118.0,no,118.0,0.00,0.00,118.0,3014.956,3014.956,,Sin control de Santa Inés
1981-01-29,117.0,no,117.0,0.00,0.00,117.0,3014.946,3014.946,,Sin control de Santa Inés
1981-01-30,117.0,no,117.0,0.00,0.00,117.0,3014.946,3014.946,,Sin control de Santa Inés
1981-01-31,116.0,no,116.0,0.00,0.00,116.0,3014.936,3014.936,,Sin control de Santa Inés
1981-02-01,115.0,no,115.0,0.00,0.00,115.0,3014.926,3014.926,,Sin control de Santa Inés
1981-02-02,115.0,no,115.0,0.00,0.00,115.0,3014.926,3014.926,,Sin control de Santa Inés
1981-02-03,114.0,no,114.0,0.00,0.00,114.0,3014.916,3014.916,,Sin control de Santa Inés
1981-02-04,114.0,no,114.0,0.00,0.00,114.0,3014.916,3014.916,,Sin control de Santa Inés
1981-02-05,114.0,no,114.0,0.00,0.00,114.0,3014.916,3014.916,,Sin control de Santa Inés
1981-02-06,113.0,no,113.0,0.00,0.00,113.0,3014.906,3014.906,,Sin control de Santa Inés
1981-02-07,113.0,no,113.0,0.00,0.00,113.0,3014.906,3014.906,,Sin control de Santa Inés
1981-02-08,112.0,no,112.0,0.00,0.00,112.0,3014.896,3014.896,,Sin control de Santa Inés
1981-02-09,112.0,no,112.0,0.00,0.00,112.0,3014.896,3014.896,,Sin control de Santa Inés
1981-02-10,112.0,no,112.0,0.00,0.00,112.0,3014.896,3014.896,,Sin control de Santa Inés
1981-02-11,113.0,no,113.0,0.00,0.00,113.0,3014.906,3014.906,,Sin control de Santa Inés
1981-02-12,113.0,no,113.0,0.00,0.00,113.0,3014.906,3014.906,,Sin control de Santa Inés
1981-02-13,113.0,no,113.0,0.00,0.00,113.0,3014.906,3014.906,,Sin control de Santa Inés
1981-02-14,110.0,no,110.0,0.00,0.00,110.0,3014.876,3014.876,,Sin control de Santa Inés
1981-02-15,107.0,no,107.0,0.00,0.00,107.0,3014.846,3014.846,,Sin control de Santa Inés
1981-02-16,107.0,no,107.0,0.00,0.00,107.0,3014.846,3014.846,,Sin control de Santa Inés
1981-02-17,106.0,no,106.0,0.00,0.00,106.0,3014.836,3014.836,,Sin control de Santa Inés
1981-02-18,105.0,no,105.0,0.00,0.00,105.0,3014.826,3014.826,,Sin control de Santa Inés
1981-02-19,104.0,no,104.0,0.00,0.00,104.0,3014.816,3014.816,,Sin control de Santa Inés
1981-02-20,104.0,no,104.0,0.00,0.00,104.0,3014.816,3014.816,,Sin control de Santa Inés
1981-02-21,104.0,no,104.0,0.00,0.00,104.0,3014.816,3014.816,,Sin control de Santa Inés
1981-02-22,103.0,no,103.0,0.00,0.00,103.0,3014.806,3014.806,,Sin control de Santa Inés
1981-02-23,104.0,no,104.0,0.00,0.00,104.0,3014.816,3014.816,,Sin control de Santa Inés
1981-02-24,103.0,no,103.0,0.00,0.00,103.0,3014.806,3014.806,,Sin control de Santa Inés
1981-02-25,104.0,no,104.0,0.00,0.00,104.0,3014.816,3014.816,,Sin control de Santa Inés
1981-02-26,104.0,no,104.0,0.00,0.00,104.0,3014.816,3014.816,,Sin control de Santa Inés
1981-02-27,104.0,no,104.0,0.00,0.00,104.0,3014.816,3014.816,,Sin control de Santa Inés
1981-02-28,103.0,no,103.0,0.00,0.00,103.0,3014.806,3014.806,,Sin control de Santa Inés
1981-03-01,102.0,no,102.0,0.00,0.00,102.0,3014.796,3014.796,,Sin control de Santa Inés
1981-03-02,102.0,no,102.0,0.00,0.00,102.0,3014.796,3014.796,,Sin control de Santa Inés
1981-03-03,102.0,no,102.0,0.00,0.00,102.0,3014.796,3014.796,,Sin control de Santa Inés
1981-03-04,102.0,no,102.0,0.00,0.00,102.0,3014.796,3014.796,,Sin control de Santa Inés
1981-03-05,102.0,no,102.0,0.00,0.00,102.0,3014.796,3014.796,,Sin control de Santa Inés
1981-03-06,101.0,no,101.0,0.00,0.00,101.0,3014.786,3014.786,,Sin control de Santa Inés
1981-03-07,101.0,no,101.0,0.00,0.00,101.0,3014.786,3014.786,,Sin control de Santa Inés
1981-03-08,101.0,no,101.0,0.00,0.00,101.0,3014.786,3014.786,,Sin control de Santa Inés
1981-03-09,101.0,no,101.0,0.00,0.00,101.0,3014.786,3014.786,,Sin control de Santa Inés
1981-03-10,199.0,no,199.0,-1.00,0.00,99.0,3014.766,3014.766,,Sin control de Santa Inés
1981-03-11,199.0,no,199.0,-1.00,0.00,99.0,3014.766,3014.766,,Sin control de Santa Inés
1981-03-12,198.0,no,198.0,-1.00,0.00,98.0,3014.756,3014.756,,Sin control de Santa Inés
1981-03-13,198.0,no,198.0,-1.00,0.00,98.0,3014.756,3014.756,,Sin control de Santa Inés
1981-03-14,197.0,no,197.0,-1.00,0.00,97.0,3014.746,3014.746,,Sin control de Santa Inés
1981-03-15,197.0,no,197.0,-1.00,0.00,97.0,3014.746,3014.746,,Sin control de Santa Inés
1981-03-16,196.0,no,196.0,-1.00,0.00,96.0,3014.736,3014.736,,Sin control de Santa Inés
1981-03-17,196.0,no,196.0,-1.00,0.00,96.0,3014.736,3014.736,,Sin control de Santa Inés
1981-03-18,194.0,no,194.0,-1.00,0.00,94.0,3014.716,3014.716,,Sin control de Santa Inés
1981-03-19,194.0,no,194.0,-1.00,0.00,94.0,3014.716,3014.716,,Sin control de Santa Inés
1981-03-20,193.0,no,193.0,-1.00,0.00,93.0,3014.706,3014.706,,Sin control de Santa Inés
1981-03-21,193.0,no,193.0,-1.00,0.00,93.0,3014.706,3014.706,,Sin control de Santa Inés
1981-03-22,193.0,no,193.0,-1.00,0.00,93.0,3014.706,3014.706,,Sin control de Santa Inés
1981-03-23,192.0,no,192.0,-1.00,0.00,92.0,3014.696,3014.696,,Sin control de Santa Inés
1981-03-24,192.0,no,192.0,-1.00,0.00,92.0,3014.696,3014.696,,Sin control de Santa Inés
1981-03-25,191.0,no,191.0,-1.00,0.00,91.0,3014.686,3014.686,,Sin control de Santa Inés
1981-03-26,191.0,no,191.0,-1.00,0.00,91.0,3014.686,3014.686,,Sin control de Santa Inés
1981-03-27,191.0,no,191.0,-1.00,0.00,91.0,3014.686,3014.686,,Sin control de Santa Inés
1981-03-28,190.0,no,190.0,-1.00,0.00,90.0,3014.676,3014.676,,Sin control de Santa Inés
1981-03-29,189.0,no,189.0,-1.00,0.00,89.0,3014.666,3014.666,,Sin control de Santa Inés
1981-03-30,189.0,no,189.0,-1.00,0.00,89.0,3014.666,3014.666,,Sin control de Santa Inés
1981-03-31,189.0,no,189.0,-1.00,0.00,89.0,3014.666,3014.666,,Sin control de Santa Inés
1981-04-01,88.0,no,88.0,0.00,0.00,88.0,3014.656,3014.656,,Sin control de Santa Inés
1981-04-02,88.0,no,88.0,0.00,0.00,88.0,3014.656,3014.656,,Sin control de Santa Inés
1981-04-03,87.0,no,87.0,0.00,0.00,87.0,3014.646,3014.646,,Sin control de Santa Inés
