fecha,nivel_msnm,area_km2,volumen_Mm3,precipitacion_Mm3,afluente_corregido_Mm3,evaporacion_Mm3,descarga_orificio_Mm3,descarga_herradura_Mm3,descarga_total_Mm3,variacion_almacenamiento_Mm3,abstracciones_Mm3,regimen_estructura,evaluable
1981-01-01,3015.126,55.217,1857.161,0.000000,0.119671,0.253308,0.062181,0.000000,0.062181,,,orificio ahogado,no
1981-01-02,3015.126,55.217,1856.843,0.000000,0.115973,0.295935,0.062181,0.000000,0.062181,-0.317705,0.075562,orificio ahogado,si
1981-01-03,3015.116,55.211,1856.526,0.000000,0.112562,0.295241,0.061385,0.000000,0.061385,-0.317705,0.073641,orificio ahogado,si
1981-01-04,3015.116,55.211,1856.208,0.000000,0.109406,0.318513,0.061385,0.000000,0.061385,-0.317705,0.047214,orificio ahogado,si
1981-01-05,3015.116,55.211,1855.890,0.000000,0.106476,0.340239,0.061385,0.000000,0.061385,-0.317705,0.022558,orificio ahogado,si
1981-01-06,3015.116,55.211,1855.573,0.000000,0.103747,0.320611,0.061385,0.000000,0.061385,-0.317705,0.039456,orificio ahogado,si
1981-01-07,3015.096,55.200,1855.255,0.000000,0.101198,0.302165,0.059749,0.000000,0.059749,-0.317705,0.056990,orificio ahogado,si
1981-01-08,3015.096,55.200,1854.937,0.000000,0.098811,0.257287,0.059749,0.000000,0.059749,-0.317705,0.099480,orificio ahogado,si
1981-01-09,3015.096,55.200,1854.619,0.000000,0.096571,0.282624,0.059749,0.000000,0.059749,-0.317705,0.071903,orificio ahogado,si
1981-01-10,3015.096,55.200,1854.302,0.000000,0.094462,0.247407,0.059749,0.000000,0.059749,-0.317705,0.105012,orificio ahogado,si
1981-01-11,3015.096,55.200,1853.984,0.073416,0.092479,0.265374,0.059749,0.000000,0.059749,-0.317705,0.158477,orificio ahogado,si
1981-01-12,3015.086,55.195,1853.666,0.053539,0.090613,0.283149,0.058907,0.000000,0.058907,-0.317705,0.119802,orificio ahogado,si
1981-01-13,3015.086,55.195,1853.349,0.025942,0.088850,0.288420,0.058907,0.000000,0.058907,-0.317705,0.085170,orificio ahogado,si
1981-01-14,3015.086,55.195,1853.031,0.000000,0.087176,0.299680,0.058907,0.000000,0.058907,-0.317705,0.046295,orificio ahogado,si
1981-01-15,3015.066,55.184,1852.713,0.000000,0.085584,0.292699,0.057166,0.000000,0.057166,-0.317705,0.053425,orificio ahogado,si
1981-01-16,3015.046,55.174,1852.396,0.000000,0.084069,0.257857,0.055335,0.000000,0.055335,-0.317705,0.088581,orificio ahogado,si
1981-01-17,3015.036,55.170,1852.078,0.000000,0.082624,0.261090,0.054377,0.000000,0.054377,-0.317705,0.084862,orificio ahogado,si
1981-01-18,3015.016,55.160,1851.760,0.000000,0.081245,0.234459,0.052337,0.000000,0.052337,-0.317705,0.112154,orificio ahogado,si
1981-01-19,3015.006,55.156,1851.442,0.000000,0.079927,0.292959,0.051195,0.000000,0.051195,-0.317705,0.053478,superficie libre,si
1981-01-20,3015.006,55.156,1851.125,0.000000,0.078665,0.212294,0.051195,0.000000,0.051195,-0.317705,0.132882,superficie libre,si
1981-01-21,3014.996,55.151,1850.807,0.000000,0.077457,0.204391,0.050011,0.000000,0.050011,-0.317705,0.140760,superficie libre,si
1981-01-22,3014.996,55.151,1850.489,0.000000,0.076298,0.302863,0.050011,0.000000,0.050011,-0.317705,0.041129,superficie libre,si
1981-01-23,3014.996,55.151,1850.172,0.000000,0.075185,0.315355,0.050011,0.000000,0.050011,-0.317705,0.027524,superficie libre,si
1981-01-24,3014.996,55.151,1849.854,0.000000,0.074116,0.286152,0.050011,0.000000,0.050011,-0.317705,0.055657,superficie libre,si
1981-01-25,3014.976,55.142,1849.536,0.000000,0.073086,0.260713,0.047672,0.000000,0.047672,-0.317705,0.082406,superficie libre,si
1981-01-26,3014.976,55.142,1849.218,0.000000,0.072095,0.241303,0.047672,0.000000,0.047672,-0.317705,0.100825,superficie libre,si
1981-01-27,3014.956,55.134,1848.901,0.000000,0.071139,0.319609,0.045371,0.000000,0.045371,-0.317705,0.023864,superficie libre,si
1981-01-28,3014.956,55.134,1848.583,0.000000,0.070217,0.295295,0.045371,0.000000,0.045371,-0.317705,0.047256,superficie libre,si
1981-01-29,3014.946,55.129,1848.265,0.000000,0.069326,0.291358,0.044235,0.000000,0.044235,-0.317705,0.051439,superficie libre,si
1981-01-30,3014.946,55.129,1847.948,0.000000,0.068466,0.273937,0.044235,0.000000,0.044235,-0.317705,0.067999,superficie libre,si
1981-01-31,3014.936,55.125,1847.630,0.000000,0.067634,0.241475,0.043108,0.000000,0.043108,-0.317705,0.100756,superficie libre,si
1981-02-01,3014.926,55.121,1847.312,0.000000,0.066829,0.211333,0.041991,0.000000,0.041991,-0.317705,0.131210,superficie libre,si
1981-02-02,3014.926,55.121,1847.061,0.000000,0.066050,0.195872,0.041991,0.000000,0.041991,-0.251402,0.079589,superficie libre,si
1981-02-03,3014.916,55.117,1846.809,0.000000,0.065296,0.225124,0.040884,0.000000,0.040884,-0.251402,0.050690,superficie libre,si
1981-02-04,3014.916,55.117,1846.558,0.000000,0.064565,0.215368,0.040884,0.000000,0.040884,-0.251402,0.059714,superficie libre,si
1981-02-05,3014.916,55.117,1846.307,0.000000,0.063856,0.171055,0.040884,0.000000,0.040884,-0.251402,0.103319,superficie libre,si
1981-02-06,3014.906,55.113,1846.055,0.000000,0.063168,0.160543,0.039787,0.000000,0.039787,-0.251402,0.114241,superficie libre,si
1981-02-07,3014.906,55.113,1845.804,0.000000,0.062501,0.205680,0.039787,0.000000,0.039787,-0.251402,0.068436,superficie libre,si
1981-02-08,3014.896,55.109,1845.552,0.000000,0.061852,0.150749,0.038699,0.000000,0.038699,-0.251402,0.123806,superficie libre,si
1981-02-09,3014.896,55.109,1845.301,0.000000,0.061222,0.217596,0.038699,0.000000,0.038699,-0.251402,0.056329,superficie libre,si
1981-02-10,3014.896,55.109,1845.050,0.000000,0.060610,0.169900,0.038699,0.000000,0.038699,-0.251402,0.103413,superficie libre,si
1981-02-11,3014.906,55.113,1844.798,0.000000,0.060014,0.251616,0.039787,0.000000,0.039787,-0.251402,0.020013,superficie libre,si
1981-02-12,3014.906,55.113,1844.547,0.000000,0.059434,0.288459,0.039787,0.000000,0.039787,-0.251402,-0.017410,superficie libre,si
1981-02-13,3014.906,55.113,1844.295,0.039681,0.058870,0.262308,0.039787,0.000000,0.039787,-0.251402,0.047858,superficie libre,si
1981-02-14,3014.876,55.100,1844.044,0.000551,0.058322,0.163786,0.036555,0.000000,0.036555,-0.251402,0.109934,superficie libre,si
1981-02-15,3014.846,55.089,1843.793,0.000000,0.057787,0.161327,0.033417,0.000000,0.033417,-0.251402,0.114445,superficie libre,si
1981-02-16,3014.846,55.089,1843.541,0.209337,0.058855,0.198732,0.033417,0.000000,0.033417,-0.251402,0.287445,superficie libre,si
1981-02-17,3014.836,55.085,1843.290,0.000000,0.060571,0.224581,0.032391,0.000000,0.032391,-0.251402,0.055000,superficie libre,si
1981-02-18,3014.826,55.081,1843.038,0.013219,0.058608,0.259928,0.031377,0.000000,0.031377,-0.251402,0.031924,superficie libre,si
1981-02-19,3014.816,55.077,1842.787,0.002754,0.057877,0.262058,0.030373,0.000000,0.030373,-0.251402,0.019602,superficie libre,si
1981-02-20,3014.816,55.077,1842.536,0.008812,0.057342,0.250051,0.030373,0.000000,0.030373,-0.251402,0.037132,superficie libre,si
