fecha,abstracciones_Mm3_dia,abstracciones_L_s,evaluable
1981-01-01,,,no
1981-01-02,0.075562,874.6,si
1981-01-03,0.073641,852.3,si
1981-01-04,0.047214,546.5,si
1981-01-05,0.022558,261.1,si
1981-01-06,0.039456,456.7,si
1981-01-07,0.056990,659.6,si
1981-01-08,0.099480,1151.4,si
1981-01-09,0.071903,832.2,si
1981-01-10,0.105012,1215.4,si
1981-01-11,0.158477,1834.2,si
1981-01-12,0.119802,1386.6,si
1981-01-13,0.085170,985.8,si
1981-01-14,0.046295,535.8,si
1981-01-15,0.053425,618.3,si
1981-01-16,0.088581,1025.2,si
1981-01-17,0.084862,982.2,si
1981-01-18,0.112154,1298.1,si
1981-01-19,0.053478,619.0,si
1981-01-20,0.132882,1538.0,si
1981-01-21,0.140760,1629.2,si
1981-01-22,0.041129,476.0,si
1981-01-23,0.027524,318.6,si
1981-01-24,0.055657,644.2,si
1981-01-25,0.082406,953.8,si
1981-01-26,0.100825,1167.0,si
1981-01-27,0.023864,276.2,si
1981-01-28,0.047256,546.9,si
1981-01-29,0.051439,595.4,si
1981-01-30,0.067999,787.0,si
1981-01-31,0.100756,1166.2,si
1981-02-01,0.131210,1518.6,si
1981-02-02,0.079589,921.2,si
1981-02-03,0.050690,586.7,si
1981-02-04,0.059714,691.1,si
1981-02-05,0.103319,1195.8,si
1981-02-06,0.114241,1322.2,si
1981-02-07,0.068436,792.1,si
1981-02-08,0.123806,1432.9,si
1981-02-09,0.056329,652.0,si
1981-02-10,0.103413,1196.9,si
1981-02-11,0.020013,231.6,si
1981-02-12,-0.017410,-201.5,si
1981-02-13,0.047858,553.9,si
1981-02-14,0.109934,1272.4,si
1981-02-15,0.114445,1324.6,si
1981-02-16,0.287445,3326.9,si
1981-02-17,0.055000,636.6,si
1981-02-18,0.031924,369.5,si
1981-02-19,0.019602,226.9,si
1981-02-20,0.037132,429.8,si
1981-02-21,0.180034,2083.7,si
1981-02-22,0.083132,962.2,si
1981-02-23,0.013007,150.5,si
1981-02-24,1.172084,13565.8,si
1981-02-25,0.158548,1835.0,si
1981-02-26,0.126681,1466.2,si
1981-02-27,0.286407,3314.9,si
1981-02-28,0.084668,980.0,si
1981-03-01,0.207333,2399.7,si
1981-03-02,0.085284,987.1,si
1981-03-03,-0.117815,-1363.6,si
1981-03-04,-0.047732,-552.5,si
1981-03-05,0.093211,1078.8,si
1981-03-06,0.293493,3396.9,si
1981-03-07,-0.000533,-6.2,si
1981-03-08,0.041455,479.8,si
1981-03-09,-0.075553,-874.5,si
1981-03-10,-0.030485,-352.8,si
1981-03-11,-0.045865,-530.8,si
1981-03-12,0.063078,730.1,si
1981-03-13,-0.015888,-183.9,si
1981-03-14,0.388780,4499.8,si
1981-03-15,-0.001468,-17.0,si
1981-03-16,-0.133465,-1544.7,si
1981-03-17,-0.052720,-610.2,si
1981-03-18,-0.047480,-549.5,si
1981-03-19,-0.066949,-774.9,si
1981-03-20,-0.135805,-1571.8,si
1981-03-21,-0.119985,-1388.7,si
1981-03-22,-0.132884,-1538.0,si
1981-03-23,-0.083074,-961.5,si
1981-03-24,-0.096048,-1111.7,si
1981-03-25,-0.151397,-1752.3,si
